State,County,PovertyRate,MedianHouseholdIncome
CO,Logan County,12.9,"58,429"
CO,Mesa County,11.2,"60,249"
CO,Mineral County,9.4,"63,015"
CO,Moffat County,12.2,"63,232"
CO,Montezuma County,14.9,"52,641"
CO,Montrose County,13.2,"50,707"
CO,Morgan County,11.9,"57,535"
CO,Otero County,24.2,"43,723"
CO,Ouray County,6.9,"72,836"
CO,Park County,8.6,"77,221"
CO,Phillips County,10.4,"53,432"
CO,Pitkin County,6.2,"92,820"
CO,Prowers County,18.2,"47,051"
CO,Pueblo County,17.8,"51,075"
CO,Rio Blanco County,10.3,"65,960"
CO,Rio Grande County,14.4,"48,496"
CO,Routt County,7.2,"87,691"
CO,Saguache County,25.4,"37,004"
CO,San Juan County,13.7,"50,524"
CO,San Miguel County,9.9,"77,209"
CO,Sedgwick County,14.6,"42,808"
CO,Summit County,6.4,"86,570"
CO,Teller County,7.9,"70,599"
CO,Washington County,11.8,"53,263"
CO,Weld County,8.4,"78,160"
CO,Yuma County,12.8,"52,841"
CT,Connecticut,9.9,"78,920"
CT,Fairfield County,9,"96,966"
CT,Hartford County,10.8,"75,336"
CT,Litchfield County,7.1,"81,015"
CT,Middlesex County,7,"81,721"
CT,New Haven County,12,"69,687"
CT,New London County,7.8,"75,226"
CT,Tolland County,7.8,"90,181"
CT,Windham County,11.5,"63,309"
DE,Delaware,11.2,"70,348"
DE,Kent County,12.7,"58,804"
DE,New Castle County,10.4,"76,076"
DE,Sussex County,12.1,"64,839"
DC,District of Columbia,14.1,"90,395"
DC,District of Columbia,14.1,"90,395"
FL,Florida,12.7,"59,198"
FL,Alachua County,18.4,"49,880"
FL,Baker County,14.9,"60,454"
FL,Bay County,12.1,"58,376"
FL,Bradford County,21,"47,509"
FL,Brevard County,9.4,"57,582"
FL,Broward County,12.3,"61,429"
FL,Calhoun County,20.3,"41,399"
FL,Charlotte County,11.4,"54,756"
FL,Citrus County,15.2,"49,762"
FL,Clay County,8.3,"75,776"
FL,Collier County,9.4,"76,415"
FL,Columbia County,15.6,"47,087"
FL,DeSoto County,21.8,"41,673"
FL,Dixie County,22.2,"39,793"
FL,Duval County,13.5,"58,339"
FL,Escambia County,15.5,"52,822"
FL,Flagler County,9.7,"62,831"
FL,Franklin County,19.2,"47,504"
FL,Gadsden County,19.7,"42,975"
FL,Gilchrist County,15,"46,171"
FL,Glades County,19.3,"45,412"
FL,Gulf County,14,"53,228"
FL,Hamilton County,32.5,"39,241"
FL,Hardee County,22.1,"41,430"
FL,Hendry County,19.5,"45,107"
FL,Hernando County,12.4,"50,705"
FL,Highlands County,15.8,"45,723"
FL,Hillsborough County,13.5,"61,133"
FL,Holmes County,20.1,"38,874"
FL,Indian River County,11.5,"61,173"
FL,Jackson County,19.4,"40,543"
FL,Jefferson County,17.6,"47,192"
FL,Lafayette County,18,"45,480"
FL,Lake County,10.9,"57,660"
FL,Lee County,11.2,"62,364"
FL,Leon County,20.8,"55,081"
FL,Levy County,18.2,"41,405"
FL,Liberty County,23,"44,236"
FL,Madison County,22.7,"37,919"
FL,Manatee County,11.3,"64,151"
FL,Marion County,14.9,"49,079"
FL,Martin County,8.9,"70,806"
FL,Miami-Dade County,15.7,"54,991"
FL,Monroe County,9.9,"67,528"
FL,Nassau County,9,"72,818"
FL,Okaloosa County,10.6,"63,520"
FL,Okeechobee County,18.4,"45,225"
FL,Orange County,12.6,"63,133"
FL,Osceola County,13.4,"52,270"
FL,Palm Beach County,11.4,"66,621"
FL,Pasco County,11.3,"55,745"
