State,County_Name,socio_index,built_index,air_index,land_index,water_index,environmental_quality_index
KS,Norton County,0.481545508,-1.959937215,-1.538792253,0.461467326,-1.385393381,-2.120429277
KS,Osage County,-0.007351833,-0.08584328,-1.279551268,0.542461932,-1.386184931,-0.892607808
KS,Osborne County,0.742944896,-2.685614586,-0.324104607,0.414796889,-1.393123388,-1.863039732
KS,Ottawa County,0.377781898,-0.758148909,-1.548218608,0.774784625,-1.392287254,-1.393990159
KS,Pawnee County,0.498768985,-0.963888943,-0.952493429,0.821630299,-1.389647603,-1.167792916
KS,Phillips County,0.43512699,-2.142130136,-1.225708246,0.539839089,-1.386793971,-2.013135672
KS,Pottawatomie County,-0.586329043,-0.338522017,-0.921502352,0.306987464,-1.389418602,-0.809051037
KS,Pratt County,0.045170974,-1.378629088,-0.209043562,1.042700052,-1.398860693,-0.850656092
KS,Rawlins County,0.438182503,-1.974869847,-0.594374776,0.586972833,-1.386933923,-1.553545833
KS,Reno County,-0.271872371,-0.143624902,-1.411737204,0.915879488,-1.394555807,-0.868864179
KS,Republic County,0.656485498,-1.247049809,0.107956953,1.098238468,-1.390244484,-0.664485633
KS,Rice County,0.345482856,-1.077268124,-0.904403508,0.938220859,-1.394297957,-1.151358128
KS,Riley County,-1.356074929,-0.144015715,-0.594368815,0.210047901,-1.391979456,-0.444582045
KS,Rooks County,0.525057435,-1.77414155,0.298510283,0.678448141,-1.390003204,-0.927509189
KS,Rush County,0.447075218,-1.950130701,-1.354462743,0.611053467,-1.389198899,-1.967933774
KS,Russell County,0.350557774,-1.814864159,-1.115575552,0.386264563,-1.383572817,-1.804695964
KS,Saline County,-0.444961369,-0.88931632,-1.175534606,0.950993299,-1.389591098,-1.098083377
KS,Scott County,0.187858745,-0.968801439,-0.061619233,1.072943449,-1.383799314,-0.557107568
KS,Sedgwick County,-1.074320078,0.343603373,-1.138044119,0.735604644,-1.390931964,-0.395373702
KS,Seward County,0.663379133,-0.744352281,0.962414801,0.934543967,-1.387717128,0.045654364
