State,Area name,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
KY,McLean County,12.7,41.2,32.6,13.5
KY,Madison County,12.5,28.1,28.7,30.8
KY,Magoffin County,30.3,36.4,23.8,9.5
KY,Marion County,18.5,45.3,23.5,12.6
KY,Marshall County,11.3,38.2,31.2,19.2
KY,Martin County,25.6,39.0,23.7,11.7
KY,Mason County,13.7,34.7,32.1,19.5
KY,Meade County,11.3,35.5,33.8,19.4
KY,Menifee County,22.6,44.7,21.5,11.2
KY,Mercer County,15.6,36.8,29.1,18.5
KY,Metcalfe County,24.4,38.6,24.0,13.0
KY,Monroe County,25.2,39.3,21.1,14.4
KY,Montgomery County,15.2,40.3,28.9,15.7
KY,Morgan County,23.7,41.4,22.4,12.5
KY,Muhlenberg County,17.9,44.8,24.8,12.6
KY,Nelson County,10.2,37.2,34.5,18.0
KY,Nicholas County,24.2,42.1,24.8,8.9
KY,Ohio County,16.7,43.0,26.7,13.6
KY,Oldham County,6.2,20.7,30.8,42.4
KY,Owen County,20.7,46.4,21.9,10.9
KY,Owsley County,31.2,36.8,15.8,16.2
KY,Pendleton County,16.2,43.8,26.8,13.2
KY,Perry County,23.1,33.0,29.5,14.4
KY,Pike County,23.0,39.4,24.5,13.0
KY,Powell County,19.7,40.0,24.4,15.9
KY,Pulaski County,17.2,35.7,30.7,16.5
KY,Robertson County,15.3,38.3,30.1,16.3
KY,Rockcastle County,21.6,43.4,23.6,11.4
KY,Rowan County,15.8,33.4,25.7,25.1
KY,Russell County,21.5,38.0,25.9,14.7
KY,Scott County,9.0,30.3,32.3,28.4
KY,Shelby County,13.5,30.3,31.3,24.9
KY,Simpson County,13.0,44.9,27.9,14.2
KY,Spencer County,9.6,36.3,33.8,20.3
KY,Taylor County,12.9,39.2,28.3,19.6
KY,Todd County,22.5,40.5,23.7,13.2
KY,Trigg County,12.0,33.2,38.3,16.6
KY,Trimble County,17.2,46.3,22.4,14.1
KY,Union County,10.0,47.8,31.1,11.1
KY,Warren County,11.9,26.6,29.3,32.2
KY,Washington County,16.0,42.4,22.8,18.8
KY,Wayne County,25.4,38.7,23.6,12.3
KY,Webster County,17.5,47.0,25.4,10.0
KY,Whitley County,18.6,36.9,24.1,20.4
KY,Wolfe County,28.2,37.4,25.7,8.7
KY,Woodford County,8.9,29.8,27.5,33.8
LA,Lousiana,14.8,34.0,27.1,24.1
LA,Acadia Parish,21.0,41.3,24.3,13.3
LA,Allen Parish,20.3,44.3,24.1,11.3
LA,Ascension Parish,11.4,32.3,29.9,26.4
LA,Assumption Parish,25.6,45.1,19.7,9.6
LA,Avoyelles Parish,23.2,37.8,26.7,12.3
LA,Beauregard Parish,14.7,38.1,29.5,17.8
LA,Bienville Parish,15.9,44.5,26.7,12.8
LA,Bossier Parish,10.3,29.7,34.8,25.2
LA,Caddo Parish,13.0,33.7,29.8,23.5
LA,Calcasieu Parish,13.2,34.1,30.5,22.3
LA,Caldwell Parish,23.3,42.5,20.3,13.8
LA,Cameron Parish,15.3,40.3,31.8,12.7
LA,Catahoula Parish,25.7,39.4,21.1,13.8
LA,Claiborne Parish,20.5,43.5,23.2,12.8
LA,Concordia Parish,19.8,40.8,25.3,14.1
LA,De Soto Parish,17.4,42.6,25.1,14.8
LA,East Baton Rouge Parish,9.5,27.3,28.3,34.9
LA,East Carroll Parish,29.5,40.5,21.1,8.9
LA,East Feliciana Parish,20.0,43.5,23.9,12.7
LA,Evangeline Parish,24.3,41.5,22.6,11.6
LA,Franklin Parish,25.0,42.1,20.9,12.0
LA,Grant Parish,17.5,46.8,27.1,8.5
LA,Iberia Parish,20.1,43.7,22.7,13.6
LA,Iberville Parish,20.4,41.3,24.4,13.9
LA,Jackson Parish,19.4,42.6,24.1,14.0
LA,Jefferson Parish,14.3,30.8,28.0,26.8
LA,Jefferson Davis Parish,18.7,40.4,24.0,16.9
LA,Lafayette Parish,11.4,30.4,25.2,33.0
LA,Lafourche Parish,21.8,40.5,20.8,16.9
LA,La Salle Parish,22.4,42.5,21.4,13.6
LA,Lincoln Parish,11.5,26.8,26.0,35.6
LA,Livingston Parish,14.8,38.1,27.4,19.7
LA,Madison Parish,26.1,36.9,24.1,12.8
LA,Morehouse Parish,20.5,42.9,23.7,13.0
LA,Natchitoches Parish,11.6,35.1,34.2,19.0
LA,Orleans Parish,13.5,22.8,26.2,37.6
LA,Ouachita Parish,13.5,34.1,28.2,24.2
LA,Plaquemines Parish,16.3,35.5,29.2,19.1
LA,Pointe Coupee Parish,20.2,39.3,25.6,14.9
LA,Rapides Parish,14.5,36.7,27.9,20.9
LA,Red River Parish,19.2,43.2,23.7,13.9
LA,Richland Parish,21.7,40.9,24.2,13.2
LA,Sabine Parish,14.3,46.6,25.8,13.3
LA,St. Bernard Parish,19.8,32.6,36.0,11.6
LA,St. Charles Parish,10.0,34.5,30.3,25.3
LA,St. Helena Parish,22.5,38.5,22.4,16.7
LA,St. James Parish,14.6,41.1,27.9,16.3
LA,St. John the Baptist Parish,13.9,38.8,31.4,15.9
LA,St. Landry Parish,23.3,41.2,20.8,14.8
LA,St. Martin Parish,18.1,43.0,24.4,14.5
LA,St. Mary Parish,17.2,51.0,21.6,10.2
LA,St. Tammany Parish,9.5,26.6,30.1,33.8
LA,Tangipahoa Parish,16.4,37.2,26.5,20.0
LA,Tensas Parish,22.5,46.1,20.0,11.4
LA,Terrebonne Parish,21.0,38.9,24.4,15.6
LA,Union Parish,14.3,44.8,23.6,17.2
LA,Vermilion Parish,22.1,41.3,22.4,14.2
LA,Vernon Parish,13.2,40.2,29.0,17.5
LA,Washington Parish,20.5,44.7,23.2,11.6
LA,Webster Parish,16.1,42.0,26.5,15.4
LA,West Baton Rouge Parish,12.8,37.2,28.0,22.0
LA,West Carroll Parish,21.2,45.7,21.4,11.7
LA,West Feliciana Parish,17.9,31.8,26.1,24.2
LA,Winn Parish,18.2,45.8,22.1,13.9
ME,Maine,7.4,31.5,29.3,31.8
ME,Androscoggin County,9.8,35.5,32.0,22.8
ME,Aroostook County,11.4,37.3,32.0,19.2
ME,Cumberland County,4.9,22.2,25.4,47.6
ME,Franklin County,7.4,38.0,29.7,24.8
ME,Hancock County,5.9,30.8,29.2,34.1
ME,Kennebec County,7.5,32.7,31.8,28.1
ME,Knox County,6.4,32.9,27.1,33.5
ME,Lincoln County,6.9,34.4,25.2,33.5
ME,Oxford County,8.1,42.0,30.7,19.2
ME,Penobscot County,8.0,33.6,30.7,27.7
ME,Piscataquis County,9.7,40.7,31.1,18.4
ME,Sagadahoc County,6.0,30.0,27.7,36.4
ME,Somerset County,11.6,40.4,31.5,16.5
ME,Waldo County,7.8,32.2,28.6,31.4
ME,Washington County,10.7,38.0,29.2,22.0
ME,York County,6.8,30.0,30.7,32.5
MD,Maryland,9.8,24.6,25.4,40.2
MD,Allegany County,9.8,41.8,29.5,18.9
MD,Anne Arundel County,7.6,23.7,27.0,41.7
MD,Baltimore County,8.5,25.8,26.4,39.4
MD,Calvert County,5.3,30.3,32.0,32.4
MD,Caroline County,15.7,39.9,26.0,18.4
MD,Carroll County,7.3,29.4,26.9,36.4
MD,Cecil County,10.5,36.1,29.4,23.9
MD,Charles County,6.8,31.7,32.6,28.9
MD,Dorchester County,12.1,38.5,28.2,21.2
MD,Frederick County,7.5,24.1,27.0,41.4
MD,Garrett County,10.2,43.3,25.6,20.9
MD,Harford County,7.3,26.0,30.0,36.7
MD,Howard County,4.5,13.5,19.5,62.6
MD,Kent County,11.4,29.8,23.6,35.1
MD,Montgomery County,9.0,13.4,18.7,58.9
MD,Prince George's County,13.3,25.8,27.8,33.1
MD,Queen Anne's County,6.8,28.9,27.8,36.5
MD,St. Mary's County,10.2,30.3,27.6,31.9
MD,Somerset County,18.7,39.7,27.2,14.4
MD,Talbot County,8.8,24.5,26.2,40.6
MD,Washington County,12.8,36.5,28.8,21.9
MD,Wicomico County,12.8,32.3,27.7,27.2
MD,Worcester County,8.7,31.8,30.5,29.0
MD,Baltimore city,14.8,29.1,24.2,31.9
MA,Massachusetts,9.2,24.0,23.0,43.7
MA,Barnstable County,4.5,23.7,28.3,43.4
MA,Berkshire County,8.7,29.4,28.4,33.6
MA,Bristol County,14.3,29.9,27.1,28.7
MA,Dukes County,5.2,23.6,26.3,44.9
MA,Essex County,10.7,25.1,24.4,39.9
MA,Franklin County,6.7,28.5,27.5,37.3
MA,Hampden County,14.2,30.7,28.0,27.1
MA,Hampshire County,5.3,22.6,23.8,48.3
MA,Middlesex County,6.6,19.0,18.1,56.3
MA,Nantucket County,4.4,19.8,23.0,52.8
MA,Norfolk County,6.1,19.2,21.1,53.6
MA,Plymouth County,7.1,27.8,27.5,37.6
MA,Suffolk County,13.7,22.1,18.2,46.1
MA,Worcester County,9.3,27.8,26.6,36.4
MI,Michigan,9.2,28.9,32.8,29.1
MI,Alcona County,10.7,39.3,33.1,16.9
MI,Alger County,10.1,45.2,27.3,17.4
MI,Allegan County,9.1,37.9,30.4,22.6
MI,Alpena County,8.1,33.7,40.2,18.0
MI,Antrim County,8.3,31.5,31.3,28.8
MI,Arenac County,11.5,41.9,34.0,12.6
MI,Baraga County,10.8,40.6,32.8,15.8
MI,Barry County,7.3,37.7,33.8,21.1
MI,Bay County,9.5,34.6,36.6,19.3
MI,Benzie County,6.7,31.2,31.8,30.3
MI,Berrien County,10.3,28.1,33.8,27.8
MI,Branch County,10.9,41.5,33.2,14.4
MI,Calhoun County,9.0,36.8,33.2,21.0
MI,Cass County,12.3,33.2,35.4,19.2
MI,Charlevoix County,6.0,29.7,33.2,31.1
MI,Cheboygan County,9.9,38.0,31.4,20.7
MI,Chippewa County,10.0,34.1,34.7,21.2
MI,Clare County,15.5,36.6,35.3,12.6
MI,Clinton County,5.5,26.8,35.7,32.1
MI,Crawford County,10.1,33.0,37.5,19.4
MI,Delta County,5.9,33.8,39.4,21.0
MI,Dickinson County,5.0,33.2,36.1,25.7
MI,Eaton County,5.7,27.7,38.8,27.8
MI,Emmet County,6.1,24.7,35.8,33.4
MI,Genesee County,9.4,31.6,37.8,21.2
MI,Gladwin County,13.0,39.3,34.2,13.5
MI,Gogebic County,6.3,37.3,36.9,19.4
MI,Grand Traverse County,4.8,24.0,35.2,36.0
MI,Gratiot County,8.9,40.4,35.3,15.4
MI,Hillsdale County,11.8,38.9,32.0,17.3
MI,Houghton County,7.2,33.1,27.1,32.6
MI,Huron County,10.9,41.6,31.5,16.0
MI,Ingham County,7.1,22.0,32.1,38.9
MI,Ionia County,9.5,39.1,35.0,16.4
MI,Iosco County,11.1,38.3,34.8,15.9
MI,Iron County,8.9,41.9,30.7,18.5
MI,Isabella County,8.5,31.8,30.6,29.1
MI,Jackson County,9.2,32.6,36.0,22.2
MI,Kalamazoo County,6.4,22.0,32.8,38.8
MI,Kalkaska County,12.7,42.1,33.3,11.9
MI,Kent County,9.3,24.1,30.9,35.7
MI,Keweenaw County,3.6,35.4,29.0,32.0
MI,Lake County,17.6,40.6,30.0,11.9
MI,Lapeer County,9.1,35.8,36.8,18.3
MI,Leelanau County,4.3,21.6,29.3,44.7
MI,Lenawee County,9.1,36.9,33.0,21.0
MI,Livingston County,4.8,25.8,34.0,35.4
MI,Luce County,11.6,36.8,33.2,18.4
MI,Mackinac County,9.3,34.0,33.4,23.3
MI,Macomb County,10.1,29.7,35.4,24.9
MI,Manistee County,10.1,35.6,34.0,20.3
MI,Marquette County,5.0,30.9,31.1,32.9
MI,Mason County,7.9,34.5,34.6,23.1
MI,Mecosta County,9.8,36.0,31.5,22.7
MI,Menominee County,7.5,42.5,33.7,16.3
MI,Midland County,5.8,28.9,30.1,35.2
MI,Missaukee County,10.5,41.9,33.6,14.0
MI,Monroe County,8.6,35.2,35.7,20.5
MI,Montcalm County,11.3,40.4,34.9,13.3
MI,Montmorency County,13.1,42.9,30.3,13.7
MI,Muskegon County,8.7,34.0,37.5,19.7
MI,Newaygo County,11.9,40.4,31.1,16.6
MI,Oakland County,5.9,18.6,28.3,47.2
MI,Oceana County,12.8,36.3,31.4,19.5
MI,Ogemaw County,14.1,38.2,35.5,12.2
MI,Ontonagon County,7.5,43.4,32.6,16.5
MI,Osceola County,11.3,43.8,30.7,14.2
MI,Oscoda County,16.6,37.4,35.4,10.6
MI,Otsego County,8.0,33.1,35.4,23.6
MI,Ottawa County,7.0,28.2,30.7,34.1
MI,Presque Isle County,10.4,38.2,33.5,17.9
MI,Roscommon County,10.1,38.4,36.1,15.5
MI,Saginaw County,10.6,33.3,35.3,20.8
MI,St. Clair County,9.2,34.0,38.1,18.6
MI,St. Joseph County,13.0,36.6,34.3,16.2
MI,Sanilac County,11.6,41.2,33.0,14.2
MI,Schoolcraft County,9.4,44.1,30.9,15.6
MI,Shiawassee County,7.8,37.3,37.9,17.0
MI,Tuscola County,10.7,42.4,33.5,13.5
MI,Van Buren County,12.9,31.3,34.1,21.7
MI,Washtenaw County,4.7,14.6,24.7,55.9
MI,Wayne County,13.5,30.1,32.5,23.9
MI,Wexford County,10.4,36.4,34.9,18.2
MN,Minnesota,6.9,24.6,32.4,36.1
MN,Aitkin County,8.8,36.9,36.3,18.1
MN,Anoka County,6.0,27.9,35.6,30.5
MN,Becker County,6.9,31.6,36.6,25.0
MN,Beltrami County,7.9,27.8,35.2,29.2
MN,Benton County,8.3,29.9,38.3,23.6
MN,Big Stone County,7.4,45.0,32.3,15.4
MN,Blue Earth County,5.5,26.5,33.2,34.8
MN,Brown County,6.5,36.1,35.2,22.2
MN,Carlton County,6.0,32.1,39.7,22.1
MN,Carver County,3.9,18.2,29.0,48.9
MN,Cass County,7.8,32.3,36.7,23.2
MN,Chippewa County,10.6,34.1,36.3,19.0
MN,Chisago County,5.4,33.8,39.4,21.5
MN,Clay County,5.1,23.7,37.0,34.2
MN,Clearwater County,13.9,34.9,34.2,17.1
MN,Cook County,2.9,24.0,32.7,40.4
MN,Cottonwood County,10.6,36.0,33.4,20.0
MN,Crow Wing County,5.9,29.9,39.5,24.7
MN,Dakota County,4.9,20.4,32.4,42.2
MN,Dodge County,5.1,33.3,35.9,25.7
MN,Douglas County,4.9,29.1,40.0,26.0
MN,Faribault County,7.4,37.7,36.3,18.6
MN,Fillmore County,9.0,34.1,34.7,22.2
MN,Freeborn County,11.2,35.0,36.6,17.1
MN,Goodhue County,5.6,32.8,35.5,26.0
MN,Grant County,7.1,33.3,40.8,18.8
MN,Hennepin County,6.7,16.4,26.9,50.1
MN,Houston County,4.9,34.2,36.1,24.8
MN,Hubbard County,7.0,31.2,34.4,27.4
MN,Isanti County,7.5,34.6,39.4,18.5
MN,Itasca County,6.0,30.0,41.0,23.1
MN,Jackson County,7.3,32.7,37.4,22.6
MN,Kanabec County,9.8,39.4,36.1,14.7
MN,Kandiyohi County,11.0,25.9,39.9,23.3
MN,Kittson County,5.5,36.2,32.5,25.9
MN,Koochiching County,8.1,35.7,40.7,15.5
MN,Lac qui Parle County,6.7,37.0,37.5,18.8
MN,Lake County,5.3,30.9,34.9,28.8
MN,Lake of the Woods County,7.0,38.6,37.7,16.7
MN,Le Sueur County,6.1,35.8,35.1,23.0
MN,Lincoln County,8.1,38.3,34.3,19.3
MN,Lyon County,8.0,31.7,34.2,26.1
MN,McLeod County,6.9,36.0,39.5,17.6
MN,Mahnomen County,13.1,36.7,37.0,13.2
MN,Marshall County,10.0,36.9,34.0,19.1
MN,Martin County,6.8,37.9,34.8,20.5
MN,Meeker County,7.4,35.3,37.8,19.5
MN,Mille Lacs County,10.2,38.6,36.5,14.7
MN,Morrison County,9.3,38.3,35.1,17.3
MN,Mower County,12.4,32.0,33.5,22.2
MN,Murray County,9.8,36.3,33.2,20.7
MN,Nicollet County,6.0,25.2,35.0,33.8
MN,Nobles County,23.7,31.3,29.6,15.3
MN,Norman County,8.1,36.9,36.0,19.1
MN,Olmsted County,5.4,19.9,29.8,44.9
MN,Otter Tail County,7.9,29.5,37.6,24.9
MN,Pennington County,6.8,33.1,40.7,19.3
MN,Pine County,9.6,40.7,34.9,14.9
MN,Pipestone County,10.4,35.5,32.9,21.3
MN,Polk County,8.1,30.6,35.9,25.3
MN,Pope County,6.0,30.4,40.7,22.9
MN,Ramsey County,9.7,20.9,27.2,42.3
MN,Red Lake County,7.4,37.5,39.0,16.2
MN,Redwood County,9.1,37.4,34.4,19.1
MN,Renville County,9.5,36.6,38.7,15.2
MN,Rice County,8.9,31.4,31.4,28.3
MN,Rock County,6.7,33.0,36.5,23.8
MN,Roseau County,7.1,35.1,37.5,20.3
MN,St. Louis County,5.5,27.2,38.0,29.3
MN,Scott County,5.3,22.2,32.6,39.9
MN,Sherburne County,5.4,28.5,39.5,26.6
MN,Sibley County,9.3,39.2,35.1,16.4
MN,Stearns County,8.3,28.0,36.2,27.5
MN,Steele County,7.5,33.7,32.9,26.0
MN,Stevens County,6.0,31.4,32.0,30.5
MN,Swift County,9.4,32.7,38.3,19.6
MN,Todd County,13.0,36.7,35.2,15.1
MN,Traverse County,6.7,35.4,40.4,17.5
MN,Wabasha County,6.6,33.0,36.7,23.7
MN,Wadena County,9.4,37.1,39.7,13.8
MN,Waseca County,7.0,36.4,35.2,21.4
MN,Washington County,3.9,21.0,30.8,44.3
MN,Watonwan County,15.5,41.3,27.7,15.5
MN,Wilkin County,5.1,28.7,42.4,23.8
MN,Winona County,6.5,27.2,36.2,30.1
MN,Wright County,5.1,29.4,36.0,29.6
MN,Yellow Medicine County,8.7,35.4,38.6,17.2
MS,Mississippi,15.5,30.4,32.0,22.0
MS,Adams County,22.1,33.0,27.4,17.4
MS,Alcorn County,18.7,32.2,32.0,17.1
MS,Amite County,18.1,39.3,30.0,12.6
MS,Attala County,22.4,32.4,31.2,13.9
MS,Benton County,27.4,33.4,27.7,11.5
MS,Bolivar County,22.2,24.9,29.4,23.6
MS,Calhoun County,22.5,37.3,28.5,11.8
MS,Carroll County,19.8,35.4,32.5,12.2
MS,Chickasaw County,24.6,38.4,24.6,12.4
MS,Choctaw County,19.5,35.9,25.5,19.1
MS,Claiborne County,19.7,28.0,28.4,24.0
MS,Clarke County,17.1,39.4,31.0,12.5
MS,Clay County,18.3,34.3,27.0,20.4
MS,Coahoma County,20.5,25.2,37.9,16.5
MS,Copiah County,19.8,34.4,31.3,14.5
MS,Covington County,16.8,36.6,31.9,14.7
MS,DeSoto County,9.6,29.2,36.2,25.0
MS,Forrest County,12.6,27.2,32.4,27.8
MS,Franklin County,15.4,35.4,37.2,12.0
MS,George County,15.7,36.6,34.0,13.8
MS,Greene County,23.8,33.7,32.8,9.7
MS,Grenada County,19.2,27.8,31.6,21.3
MS,Hancock County,12.5,28.1,37.3,22.0
MS,Harrison County,11.7,29.1,36.1,23.1
MS,Hinds County,12.5,25.0,33.5,29.0
MS,Holmes County,23.2,41.0,25.7,10.2
MS,Humphreys County,30.1,33.8,23.3,12.8
MS,Issaquena County,39.5,31.9,25.5,3.2
MS,Itawamba County,20.9,31.1,34.8,13.2
MS,Jackson County,11.3,31.2,36.4,21.1
MS,Jasper County,15.8,38.5,30.6,15.1
MS,Jefferson County,22.0,37.9,24.2,15.9
MS,Jefferson Davis County,17.6,36.6,31.7,14.1
MS,Jones County,15.9,29.9,33.4,20.8
MS,Kemper County,17.9,38.3,29.1,14.7
MS,Lafayette County,9.6,18.7,26.1,45.6
MS,Lamar County,10.6,24.2,31.1,34.1
MS,Lauderdale County,15.5,27.5,37.3,19.7
MS,Lawrence County,18.3,33.6,30.6,17.6
MS,Leake County,21.4,36.6,27.8,14.3
MS,Lee County,16.4,25.9,33.3,24.4
MS,Leflore County,18.4,38.2,25.0,18.5
MS,Lincoln County,13.7,37.6,32.6,16.2
MS,Lowndes County,14.0,32.0,30.6,23.4
MS,Madison County,8.3,17.0,26.3,48.4
MS,Marion County,18.5,39.3,29.9,12.3
MS,Marshall County,17.9,38.8,29.5,13.8
MS,Monroe County,19.0,36.0,28.3,16.7
MS,Montgomery County,22.1,33.3,25.3,19.3
MS,Neshoba County,19.7,35.6,33.0,11.6
MS,Newton County,14.8,30.9,37.9,16.4
MS,Noxubee County,29.1,29.6,25.7,15.6
MS,Oktibbeha County,9.3,21.7,26.4,42.6
MS,Panola County,19.4,36.6,29.1,14.9
MS,Pearl River County,16.2,30.4,36.7,16.7
MS,Perry County,17.0,40.4,31.8,10.7
MS,Pike County,16.8,35.9,30.7,16.6
MS,Pontotoc County,23.5,29.1,29.3,18.1
MS,Prentiss County,19.9,34.5,33.3,12.4
MS,Quitman County,28.7,31.1,30.0,10.3
MS,Rankin County,10.5,26.7,33.8,29.0
MS,Scott County,26.0,37.5,25.1,11.4
MS,Sharkey County,22.5,27.9,30.0,19.5
MS,Simpson County,20.3,30.1,33.4,16.2
MS,Smith County,20.8,39.2,27.9,12.2
MS,Stone County,17.8,35.9,30.6,15.8
MS,Sunflower County,25.1,32.2,27.3,15.4
MS,Tallahatchie County,30.5,28.8,30.5,10.3
MS,Tate County,17.0,35.4,31.7,15.8
MS,Tippah County,20.1,36.2,28.5,15.2
MS,Tishomingo County,19.6,38.9,30.1,11.4
MS,Tunica County,16.5,33.4,33.2,16.9
MS,Union County,21.9,33.7,31.1,13.4
MS,Walthall County,18.3,43.8,23.5,14.4
MS,Warren County,12.9,30.5,34.2,22.4
MS,Washington County,21.2,32.3,28.6,17.9
MS,Wayne County,20.7,38.4,25.6,15.3
MS,Webster County,15.1,36.6,29.7,18.5
MS,Wilkinson County,25.2,40.6,20.5,13.7
MS,Winston County,18.3,35.7,31.2,14.7
MS,Yalobusha County,16.7,40.2,29.3,13.8
MS,Yazoo County,21.1,38.6,26.8,13.4
MO,Missouri,10.1,30.6,30.1,29.2
MO,Adair County,9.9,34.4,24.6,31.0
MO,Andrew County,8.3,37.4,29.5,24.9
MO,Atchison County,8.5,39.0,29.5,23.1
MO,Audrain County,13.8,45.8,25.7,14.7
MO,Barry County,16.4,41.3,27.7,14.6
MO,Barton County,12.8,41.1,26.2,19.9
MO,Bates County,12.6,44.2,27.1,16.1
MO,Benton County,15.5,40.3,31.2,13.0
MO,Bollinger County,20.2,47.3,23.6,8.9
MO,Boone County,5.5,21.3,27.1,46.1
MO,Buchanan County,11.7,37.8,29.4,21.1
MO,Butler County,17.0,37.3,32.3,13.3
MO,Caldwell County,10.2,43.7,27.9,18.1
MO,Callaway County,13.8,36.1,27.0,23.1
MO,Camden County,9.6,37.9,31.4,21.1
MO,Cape Girardeau County,9.0,31.2,28.3,31.5
MO,Carroll County,14.2,44.3,24.9,16.7
MO,Carter County,15.2,43.2,26.2,15.5
MO,Cass County,7.6,33.9,32.2,26.3
MO,Cedar County,12.3,41.2,32.9,13.6
MO,Chariton County,9.3,49.4,24.1,17.2
MO,Christian County,8.0,29.4,34.0,28.6
MO,Clark County,13.7,43.5,30.0,12.8
MO,Clay County,6.7,28.4,31.8,33.2
MO,Clinton County,8.0,40.0,30.3,21.6
MO,Cole County,7.7,29.7,29.3,33.3
MO,Cooper County,11.3,37.5,29.0,22.1
MO,Crawford County,22.1,39.1,27.3,11.5
MO,Dade County,12.8,44.8,29.7,12.7
MO,Dallas County,16.6,44.5,26.0,12.9
MO,Daviess County,15.0,41.0,25.5,18.5
MO,DeKalb County,12.7,47.1,26.4,13.8
MO,Dent County,16.8,41.4,26.5,15.3
MO,Douglas County,17.9,44.0,27.3,10.8
MO,Dunklin County,23.7,38.2,24.2,13.8
MO,Franklin County,11.6,32.7,34.8,20.9
MO,Gasconade County,12.2,38.5,30.0,19.2
MO,Gentry County,10.8,42.5,27.7,19.1
MO,Greene County,8.2,28.0,33.3,30.5
MO,Grundy County,13.5,39.0,30.3,17.1
MO,Harrison County,11.8,46.0,25.7,16.5
MO,Henry County,12.2,40.7,31.3,15.9
MO,Hickory County,15.7,44.5,30.8,9.0
MO,Holt County,8.9,43.3,28.1,19.7
MO,Howard County,12.1,37.1,25.7,25.2
MO,Howell County,13.0,38.9,30.1,18.0
MO,Iron County,18.5,41.4,29.2,10.8
MO,Jackson County,9.4,28.3,30.7,31.6
MO,Jasper County,13.3,33.6,29.6,23.6
MO,Jefferson County,10.9,31.6,37.1,20.4
MO,Johnson County,7.5,30.7,32.9,28.9
MO,Knox County,13.1,43.2,26.5,17.2
MO,Laclede County,14.8,40.8,29.8,14.6
MO,Lafayette County,9.4,43.5,26.8,20.3
MO,Lawrence County,15.3,38.7,30.0,16.0
MO,Lewis County,11.5,45.9,29.0,13.6
MO,Lincoln County,10.5,42.3,30.4,16.8
MO,Linn County,10.6,45.7,26.8,16.9
MO,Livingston County,13.3,39.8,28.1,18.8
MO,McDonald County,22.4,41.3,24.8,11.5
MO,Macon County,11.8,45.1,26.8,16.3
MO,Madison County,15.6,36.5,32.3,15.6
MO,Maries County,13.5,40.0,30.6,15.8
MO,Marion County,12.0,37.0,28.7,22.4
MO,Mercer County,11.6,47.3,22.3,18.9
MO,Miller County,12.7,40.6,27.3,19.4
MO,Mississippi County,24.3,41.8,22.3,11.5
MO,Moniteau County,14.6,40.1,24.8,20.5
MO,Monroe County,10.7,48.4,28.5,12.4
MO,Montgomery County,14.8,44.7,26.5,14.0
MO,Morgan County,21.9,38.1,26.7,13.3
MO,New Madrid County,21.3,46.7,20.0,12.1
MO,Newton County,12.9,34.5,32.6,20.0
MO,Nodaway County,7.7,37.7,26.1,28.6
MO,Oregon County,16.9,43.0,25.5,14.6
MO,Osage County,10.1,43.7,27.3,18.9
MO,Ozark County,17.7,43.4,27.9,11.0
MO,Pemiscot County,22.2,43.3,21.7,12.7
MO,Perry County,12.3,43.3,26.7,17.7
MO,Pettis County,13.5,34.8,33.7,18.0
MO,Phelps County,11.7,30.4,28.7,29.1
MO,Pike County,15.8,47.6,21.0,15.6
MO,Platte County,4.2,22.1,30.6,43.1
MO,Polk County,11.6,39.0,29.5,19.9
MO,Pulaski County,7.2,27.5,37.1,28.3
MO,Putnam County,9.5,42.8,28.3,19.3
MO,Ralls County,10.3,49.0,25.9,14.9
MO,Randolph County,13.1,36.3,35.5,15.1
MO,Ray County,11.9,45.1,28.4,14.6
MO,Reynolds County,20.2,40.4,25.7,13.7
MO,Ripley County,20.1,42.3,27.5,10.2
MO,St. Charles County,5.2,24.6,31.3,38.9
MO,St. Clair County,15.5,41.1,29.5,13.9
MO,Ste. Genevieve County,10.6,39.3,30.3,19.7
MO,St. Francois County,15.2,37.2,33.3,14.3
MO,St. Louis County,6.5,21.2,28.6,43.6
MO,Saline County,16.0,37.8,26.8,19.4
MO,Schuyler County,12.4,46.2,28.7,12.6
MO,Scotland County,20.1,41.5,24.2,14.2
MO,Scott County,15.0,41.6,27.0,16.3
MO,Shannon County,20.0,44.9,20.2,14.9
MO,Shelby County,9.3,43.4,29.3,18.1
MO,Stoddard County,19.1,41.5,26.1,13.3
MO,Stone County,12.8,32.9,35.7,18.6
MO,Sullivan County,15.7,50.2,22.4,11.7
MO,Taney County,11.1,33.6,35.4,19.9
MO,Texas County,16.4,38.6,31.5,13.5
MO,Vernon County,11.7,40.5,29.0,18.9
MO,Warren County,11.3,37.6,32.0,19.1
MO,Washington County,23.1,37.4,29.7,9.9
MO,Wayne County,23.8,39.0,27.7,9.6
MO,Webster County,13.9,37.3,32.0,16.8
MO,Worth County,10.2,43.6,26.2,20.0
MO,Wright County,19.6,45.5,24.8,10.2
MO,St. Louis city,12.2,23.9,27.5,36.3
MT,Montana,6.4,28.8,32.7,32.0
MT,Beaverhead County,4.9,28.8,30.9,35.4
MT,Big Horn County,10.5,35.2,36.2,18.1
MT,Blaine County,10.1,27.4,39.7,22.9
MT,Broadwater County,6.8,32.2,33.9,27.1
MT,Carbon County,5.8,31.1,32.7,30.4
