State,Area name,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
FL,Marion County,12.4,36.9,30.6,20.1
FL,Martin County,9.0,24.9,32.0,34.1
FL,Miami-Dade County,18.6,27.3,24.4,29.8
FL,Monroe County,8.6,26.7,30.3,34.4
FL,Nassau County,8.7,31.7,30.0,29.6
FL,Okaloosa County,7.6,24.7,36.5,31.1
FL,Okeechobee County,22.8,39.5,26.3,11.3
FL,Orange County,11.5,24.4,29.6,34.6
FL,Osceola County,13.3,31.3,33.7,21.8
FL,Palm Beach County,11.5,24.0,27.8,36.7
FL,Pasco County,10.5,33.2,32.2,24.0
FL,Pinellas County,8.7,28.0,31.6,31.7
FL,Polk County,15.0,34.7,30.1,20.2
FL,Putnam County,18.2,41.2,28.3,12.3
FL,St. Johns County,5.2,21.4,28.7,44.7
FL,St. Lucie County,13.7,33.2,31.5,21.6
FL,Santa Rosa County,8.7,26.8,36.8,27.7
FL,Sarasota County,6.9,28.9,28.8,35.4
FL,Seminole County,5.7,21.1,33.6,39.6
FL,Sumter County,7.9,30.4,30.0,31.8
FL,Suwannee County,17.7,38.9,27.9,15.5
FL,Taylor County,21.2,43.8,26.6,8.3
FL,Union County,23.5,37.4,29.9,9.2
FL,Volusia County,9.5,31.8,35.0,23.7
FL,Wakulla County,12.3,36.2,33.2,18.3
FL,Walton County,10.9,28.5,32.1,28.5
FL,Washington County,18.7,40.1,28.6,12.5
GA,Georgia,12.9,27.7,28.1,31.3
GA,Appling County,25.1,38.7,26.4,9.8
GA,Atkinson County,32.8,34.7,20.3,12.2
GA,Bacon County,17.9,42.4,29.2,10.5
GA,Baker County,19.4,37.9,29.8,12.9
GA,Baldwin County,14.2,35.0,27.5,23.3
GA,Banks County,24.1,38.0,24.5,13.4
GA,Barrow County,15.5,34.1,31.4,19.0
GA,Bartow County,16.4,33.4,31.6,18.6
GA,Ben Hill County,16.5,45.3,27.0,11.2
GA,Berrien County,21.0,42.4,25.2,11.4
GA,Bibb County,14.0,30.5,30.1,25.4
GA,Bleckley County,11.4,40.9,28.9,18.7
GA,Brantley County,21.1,44.6,25.4,8.9
GA,Brooks County,14.9,35.0,32.4,17.8
GA,Bryan County,8.4,24.3,34.2,33.1
GA,Bulloch County,12.7,27.2,33.2,27.0
GA,Burke County,19.9,38.3,28.5,13.2
GA,Butts County,19.4,44.7,23.7,12.2
GA,Calhoun County,27.1,36.7,27.1,9.1
GA,Camden County,8.7,32.2,35.3,23.9
GA,Candler County,22.7,37.3,27.0,13.0
GA,Carroll County,15.4,33.4,30.2,21.1
GA,Catoosa County,12.5,32.9,33.2,21.4
GA,Charlton County,25.9,40.1,25.2,8.8
GA,Chatham County,10.1,24.2,32.1,33.6
GA,Chattahoochee County,5.7,28.3,36.5,29.5
GA,Chattooga County,26.2,40.1,24.8,8.9
GA,Cherokee County,7.9,22.4,31.5,38.2
GA,Clarke County,12.0,19.9,24.1,44.0
GA,Clay County,20.0,36.3,31.2,12.5
GA,Clayton County,15.2,33.6,31.7,19.5
GA,Clinch County,30.8,33.9,25.3,10.0
GA,Cobb County,7.9,18.5,26.2,47.4
GA,Coffee County,24.3,37.2,25.5,13.0
GA,Colquitt County,25.3,38.8,23.1,12.8
GA,Columbia County,7.3,23.8,32.6,36.4
GA,Cook County,20.9,36.3,29.3,13.5
GA,Coweta County,10.8,28.6,30.3,30.3
GA,Crawford County,16.9,40.0,32.6,10.5
GA,Crisp County,17.2,37.6,31.1,14.1
GA,Dade County,19.3,37.7,27.9,15.2
GA,Dawson County,12.8,29.1,27.5,30.6
GA,Decatur County,17.5,36.7,32.0,13.8
GA,DeKalb County,10.7,20.9,24.3,44.2
GA,Dodge County,14.4,44.2,27.1,14.3
GA,Dooly County,22.3,41.1,24.5,12.1
GA,Dougherty County,16.6,30.2,31.8,21.4
GA,Douglas County,12.2,30.4,29.3,28.2
GA,Early County,19.6,37.1,28.2,15.1
GA,Echols County,25.8,41.9,22.5,9.7
GA,Effingham County,11.7,37.5,30.8,20.0
GA,Elbert County,21.6,40.9,25.9,11.6
GA,Emanuel County,21.4,40.8,24.7,13.0
GA,Evans County,23.8,38.9,21.6,15.8
GA,Fannin County,13.4,33.5,31.3,21.8
GA,Fayette County,4.7,20.9,28.2,46.2
GA,Floyd County,17.6,34.3,27.2,20.9
GA,Forsyth County,7.0,15.6,24.3,53.1
GA,Franklin County,17.7,39.4,27.0,15.9
GA,Fulton County,7.4,17.7,22.0,52.9
GA,Gilmer County,18.3,35.4,25.9,20.4
GA,Glascock County,21.8,40.9,25.7,11.6
GA,Glynn County,11.9,26.7,31.5,29.9
GA,Gordon County,22.1,34.9,28.3,14.7
GA,Grady County,19.9,39.2,27.0,13.9
GA,Greene County,14.7,33.4,25.1,26.9
GA,Gwinnett County,12.3,22.3,28.4,36.9
GA,Habersham County,20.4,34.7,25.6,19.3
GA,Hall County,20.9,27.7,26.9,24.5
GA,Hancock County,25.8,43.1,22.4,8.6
GA,Haralson County,18.8,36.1,30.4,14.8
GA,Harris County,7.8,23.7,37.1,31.4
GA,Hart County,18.5,36.9,28.9,15.7
GA,Heard County,20.3,45.1,25.8,8.7
GA,Henry County,8.8,31.7,31.1,28.5
GA,Houston County,8.4,27.0,36.2,28.3
GA,Irwin County,18.5,40.2,26.1,15.1
GA,Jackson County,15.9,32.1,29.2,22.7
GA,Jasper County,17.2,38.1,30.4,14.2
GA,Jeff Davis County,20.7,38.7,30.3,10.3
GA,Jefferson County,23.6,41.8,24.7,9.9
GA,Jenkins County,20.7,44.8,26.6,7.9
GA,Johnson County,24.9,45.9,20.1,9.1
GA,Jones County,10.9,39.2,30.3,19.6
GA,Lamar County,13.0,39.4,31.8,15.8
GA,Lanier County,20.0,37.9,25.6,16.5
GA,Laurens County,14.1,43.1,26.5,16.2
GA,Lee County,9.1,29.8,35.7,25.4
GA,Liberty County,9.3,31.6,40.9,18.3
GA,Lincoln County,17.9,39.7,26.6,15.9
GA,Long County,12.3,34.7,35.5,17.4
GA,Lowndes County,13.4,31.4,29.9,25.3
GA,Lumpkin County,15.2,30.4,28.0,26.4
GA,McDuffie County,16.6,41.6,27.7,14.0
GA,McIntosh County,14.8,37.4,30.2,17.6
GA,Macon County,26.4,34.8,30.1,8.8
GA,Madison County,16.8,39.8,24.9,18.5
GA,Marion County,22.2,35.5,28.9,13.4
GA,Meriwether County,20.3,39.8,29.5,10.4
GA,Miller County,17.4,36.5,32.1,14.0
GA,Mitchell County,22.8,39.5,28.0,9.7
GA,Monroe County,14.3,33.3,25.6,26.8
GA,Montgomery County,18.3,38.1,27.7,16.0
